import time: self [us] | cumulative | imported package
import time:       128 |        128 |   _io
import time:        21 |         21 |   marshal
import time:       135 |        135 |   posix
import time:       383 |        665 | _frozen_importlib_external
import time:       540 |        540 |   time
import time:       120 |        660 | zipimport
import time:        27 |         27 |     _codecs
import time:       295 |        322 |   codecs
import time:       425 |        425 |   encodings.aliases
import time:       484 |       1230 | encodings
import time:       232 |        232 | encodings.utf_8
import time:        42 |         42 | _signal
import time:        18 |         18 |       _abc
import time:        82 |         99 |     abc
import time:        24 |         24 |       _stat
import time:        46 |         70 |     stat
import time:       470 |        470 |     _collections_abc
import time:        25 |         25 |       errno
import time:        45 |         45 |       genericpath
import time:        72 |        142 |     posixpath
import time:       283 |       1061 |   os
import time:        45 |         45 |   _sitebuiltins
import time:        17 |         17 |           _types
import time:       277 |        293 |         types
import time:      1004 |       1296 |       enum
import time:        33 |         33 |         _sre
import time:       293 |        293 |           re._constants
import time:       373 |        666 |         re._parser
import time:       301 |        301 |         re._casefix
import time:       407 |       1406 |       re._compiler
import time:        59 |         59 |           itertools
import time:       225 |        225 |           keyword
import time:        36 |         36 |             _operator
import time:       396 |        431 |           operator
import time:       242 |        242 |           reprlib
import time:        36 |         36 |           _collections
import time:       622 |       1613 |         collections
import time:        31 |         31 |         _functools
import time:       594 |       2237 |       functools
import time:       233 |        233 |       copyreg
import time:       448 |       5619 |     re
import time:       579 |       6197 |   sitecustomize
import time:       559 |       7861 | site
import time:       292 |        292 | __future__
import time:       319 |        319 |   gettext
import time:       772 |       1091 | argparse
import time:       296 |        296 |   config
import time:        16 |         16 |     _typing
import time:      1427 |       1443 |   typing
import time:       111 |        111 |           importlib
import time:       324 |        434 |         langchain_core._import_utils
import time:       267 |        701 |       langchain_core._api
import time:       460 |        460 |       contextlib
import time:       605 |        605 |             _ast
import time:       466 |       1071 |           ast
import time:       469 |       1539 |         annotationlib
import time:       126 |        126 |           io
import time:        18 |         18 |             _opcode
import time:       214 |        214 |             _opcode_metadata
import time:       198 |        429 |           opcode
import time:       731 |       1285 |         dis
import time:        34 |         34 |         importlib.machinery
import time:       221 |        221 |         linecache
import time:       223 |        223 |           token
import time:        14 |         14 |           _tokenize
import time:       565 |        801 |         tokenize
import time:       197 |        197 |           _weakrefset
import time:       386 |        583 |         weakref
import time:      1147 |       5609 |       inspect
import time:        15 |         15 |           _contextvars
import time:       341 |        355 |         _py_warnings
import time:       186 |        541 |       warnings
import time:        91 |         91 |       langchain_core._api.internal
import time:       839 |        839 |                   typing_extensions
import time:        24 |         24 |                       _datetime
import time:       251 |        275 |                     datetime
import time:       828 |       1102 |                   pydantic_core._pydantic_core
import time:       315 |        315 |                         numbers
import time:       781 |       1095 |                       _decimal
import time:       222 |       1317 |                     decimal
import time:      4952 |       6268 |                   pydantic_core.core_schema
import time:       302 |       8509 |                 pydantic_core
import time:       197 |       8706 |               pydantic.version
import time:       617 |       9323 |             pydantic.warnings
import time:       337 |       9659 |           pydantic._migration
import time:       212 |        212 |               typing_inspection
import time:       309 |        309 |                 copy
import time:       482 |        791 |               dataclasses
import time:       522 |        522 |                 textwrap
import time:       829 |       1350 |               typing_inspection.typing_objects
import time:       526 |       2878 |             typing_inspection.introspection
import time:       215 |        215 |             pydantic._internal
import time:       203 |        203 |                 pydantic._internal._namespace_utils
import time:       336 |        539 |               pydantic._internal._typing_extra
import time:       284 |        822 |             pydantic._internal._repr
import time:       379 |       4293 |           pydantic.errors
import time:       289 |      14240 |         pydantic
import time:       404 |        404 |           math
import time:      3818 |       4221 |         annotated_types
import time:      1013 |       1013 |           fractions
import time:      1584 |       1584 |           ipaddress
import time:       477 |        477 |                 threading
import time:       419 |        896 |               sysconfig
import time:       252 |        252 |               _osx_support
import time:      1253 |       2400 |             zoneinfo._tzpath
import time:       367 |        367 |                 _struct
import time:       177 |        544 |               struct
import time:       216 |        759 |             zoneinfo._common
import time:       291 |        291 |             _zoneinfo
import time:       274 |       3723 |           zoneinfo
import time:       202 |        202 |           pydantic._internal._import_utils
import time:       457 |       6976 |         pydantic._internal._validators
import time:       320 |        320 |             binascii
import time:       283 |        602 |           base64
import time:        38 |         38 |               _winapi
import time:        29 |         29 |               nt
import time:        25 |         25 |               nt
import time:        25 |         25 |               nt
import time:        23 |         23 |               nt
import time:        23 |         23 |               nt
import time:        23 |         23 |               nt
import time:        23 |         23 |               nt
import time:       144 |        350 |             ntpath
import time:       149 |        149 |               fnmatch
import time:       369 |        518 |             glob
import time:        24 |         24 |             pwd
import time:       413 |        413 |             grp
import time:       527 |        527 |               fcntl
import time:        29 |         29 |               _winapi
import time:       410 |        966 |             pathlib._os
import time:       702 |       2971 |           pathlib
import time:       518 |        518 |             _uuid
import time:       447 |        964 |           uuid
import time:       172 |        172 |               pydantic._internal._internal_dataclass
import time:       772 |        944 |             pydantic.aliases
import time:       209 |        209 |               contextvars
import time:       276 |        276 |               pydantic._internal._core_utils
import time:       402 |        402 |               pydantic._internal._forward_ref
import time:       785 |        785 |               pydantic._internal._utils
import time:       491 |       2161 |             pydantic._internal._generics
import time:       672 |        672 |               pydantic.config
import time:       353 |       1025 |             pydantic._internal._config
import time:       313 |        313 |             pydantic._internal._docs_extraction
import time:       674 |       5115 |           pydantic._internal._fields
import time:       289 |        289 |           pydantic.annotated_handlers
import time:       179 |        179 |             pydantic._internal._core_metadata
import time:      2157 |       2157 |             pydantic._internal._decorators
import time:       444 |        444 |                 pydantic.plugin
import time:       412 |        855 |               pydantic.plugin._schema_validator
import time:       331 |       1186 |             pydantic._internal._mock_val_ser
import time:       145 |        145 |             pydantic._internal._schema_generation_shared
import time:      1235 |       4900 |           pydantic.json_schema
import time:      3101 |      17940 |         pydantic.types
import time:      1220 |      44595 |       pydantic.fields
import time:       256 |        256 |       langchain_core.version
import time:      1147 |      53397 |     langchain_core
import time:       216 |      53612 |   langchain_core.embeddings
import time:       194 |        194 |     langchain_core.runnables
import time:       224 |        224 |           concurrent
import time:       197 |        197 |                 codeop
import time:      2505 |       2505 |                 _colorize
import time:       483 |       3184 |               traceback
import time:        39 |         39 |                 _string
import time:       287 |        326 |               string
import time:        19 |         19 |               atexit
import time:      1023 |       4550 |             logging
import time:       463 |       5013 |           concurrent.futures._base
import time:       806 |        806 |           _interpreters
import time:       839 |       6880 |         concurrent.futures
import time:       584 |        584 |           _heapq
import time:       297 |        881 |         heapq
import time:       614 |        614 |           _socket
import time:       761 |       1375 |         socket
import time:       176 |        176 |             _locale
import time:       511 |        686 |           locale
import time:       393 |        393 |           signal
import time:        32 |         32 |           msvcrt
import time:       594 |        594 |           _posixsubprocess
import time:       614 |        614 |           select
import time:       431 |        431 |           selectors
import time:       587 |       3335 |         subprocess
import time:      2011 |       2011 |           _ssl
import time:      1223 |       3234 |         ssl
import time:       156 |        156 |         asyncio.constants
import time:       211 |        211 |         asyncio.coroutines
import time:       199 |        199 |           asyncio.format_helpers
import time:       103 |        103 |             asyncio.base_futures
import time:       128 |        128 |             asyncio.exceptions
import time:        97 |         97 |             asyncio.base_tasks
import time:       555 |        882 |           _asyncio
import time:       386 |       1465 |         asyncio.events
import time:       237 |        237 |         asyncio.futures
import time:       237 |        237 |         asyncio.protocols
import time:       283 |        283 |           asyncio.transports
import time:        80 |         80 |           asyncio.log
import time:       505 |        867 |         asyncio.sslproto
import time:        88 |         88 |             asyncio.mixins
import time:       364 |        451 |           asyncio.locks
import time:       266 |        266 |             asyncio.queues
import time:       279 |        279 |             asyncio.timeouts
import time:       407 |        952 |           asyncio.tasks
import time:       123 |       1525 |         asyncio.staggered
import time:       105 |        105 |         asyncio.trsock
import time:       655 |      21156 |       asyncio.base_events
import time:       879 |        879 |       asyncio.graph
import time:       168 |        168 |       asyncio.runners
import time:       362 |        362 |       asyncio.streams
import time:       255 |        255 |       asyncio.subprocess
import time:       109 |        109 |       asyncio.taskgroups
import time:        73 |         73 |       asyncio.threads
import time:       242 |        242 |         asyncio.base_subprocess
import time:       536 |        536 |         asyncio.selector_events
import time:       411 |       1187 |       asyncio.unix_events
import time:       241 |      24424 |     asyncio
import time:       671 |        671 |         _queue
import time:       329 |       1000 |       queue
import time:       328 |       1328 |     concurrent.futures.thread
import time:       242 |        242 |       langchain_core.callbacks
import time:       383 |        383 |       langchain_core.callbacks.base
import time:       176 |        176 |         langchain_core.utils
import time:       393 |        569 |       langchain_core.callbacks.stdout
import time:       358 |        358 |       langchain_core.globals
import time:       613 |        613 |                   _json
import time:       245 |        857 |                 json.scanner
import time:       345 |       1202 |               json.decoder
import time:       309 |        309 |               json.encoder
import time:       221 |       1731 |             json
import time:       121 |        121 |             email
import time:       219 |        219 |                 importlib._abc
import time:        75 |        293 |               importlib.util
import time:       572 |        572 |                 zlib
import time:       172 |        172 |                     compression
import time:       187 |        358 |                   compression._common
